"","company.name","company.code"
"251","CONCESSIONÁRIA RODOVIA PRESIDENTE DUTRA S/A",19577
"252","UNIVER CIDADE TRUST DE RECEBIVEIS SA",19585
"253","SANESALTO SANEAMENTO SA",19593
"254","BAESA-ENERGETICA BARRA GRANDE SA",19607
"255","GRENDENE SA",19615
"256","DIAGNOSTICOS DA AMERICA SA",19623
"257","INTERCEMENT BRASIL SA",19631
"258","BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL",19640
"259","POMIFRUTAS S/A",19658
"260","BTG PACTUAL SECURITIZADORA S.A",19690
"261","BRASMOTOR SA",1970
"262","BI CIA SECURITIZADORA DE CREDITOS IMOBILIARIOS",19704
"263","BRAZIL REALTY CIA SECURITIZADORA DE CREDITOS IMOLIARIOS",19720
"264","LOCALIZA RENT A CAR SA",19739
"265","BETA SECURITIZADORA S/A",19747
"266","EDP ENERGIAS DO BRASIL S/A",19763
"267","ARTERIS S.A.",19771
"268","REC 844 SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A.",19810
"269","COSAN SA INDUSTRIA E COMERCIO",19836
"270","SAFRA LEASING SA ARRENDAMENTO  MERCANTIL",19844
"271","TERMOPERNAMBUCO SA",19852
"272","RB CAPITAL SECURITIZADORA S.A.",19860
"273","LIGHT SA",19879
"274","UNIVERSO ONLINE SA",19887
"275","BRPR 45 SECURITZADORA CRED IMOB SA",19895
"276","BR MALLS PARTICIPAÇOES S.A.",19909
"277","TEMPO PARTICIPAÇOES S/A",19917
"278","BR PROPERTIES S.A.",19925
"279","ITAUSEG PARTICIPAÇÕES SA",19933
"280","BRPR 55 SECURITZADORA CRED IMOB SA",19941
"281","BRPR 52 SECURITZADORA CRED IMOB SA",19976
"282","BRPR 56 SECURITZADORA CRED IMOB SA",19984
"283","TOTVS S.A",19992
"284","XX DE NOVEMBRO INVESTIMENTOS E PARTICIPAÇÕES S.A",20001
"285","EQUATORIAL ENERGIA S/A",20010
"286","VALID SOLUÇÕES E SERVIÇOS DE SEGURANÇA EM MEIOS DE PAGAMENTO E IDENTIFICAÇÃO S.A.",20028
"287","BRASILAGRO CIA BRAS DE PROP AGRICOLAS",20036
"288","CSU CARDSYSTEM S/A",20044
"289","DINAMICA ENERGIA S/A",20052
"290","LUPATECH S/A - EM RECUPERAÇÃO JUDICIAL",20060
"291","UNI CIDADE SPTRUST DE RECEBÍVEIS SA",20079
"292","EMBRAER S.A.",20087
"293","ODONTOPREV S/A",20125
"294","BV LEASING - ARRENDAMENTO MERCANTIL S/A",20133
"295","CREMER SA",20141
"296","AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.",20150
"297","ÓLEO E GÁS PARTICIPAÇÕES S/A",20168
"298","CENTENNIAL ASSET PART. MINAS-RIO S/A",20176
"299","CCX CARVÃO DA COLOMBIA S.A.",20184
"300","CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S.A.",20192
"301","AMPLA INVESTIMENTOS E SERVIÇOS S/A",20214
"302","GAIA SECURITIZADORA S/A",20222
"303","TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.",20257
"304","BROOKFIELD INCORPORAÇÕES S.A.",20265
"305","CEMIG DISTRIBUIÇÃO S/A",20303
"306","CEMIG GERAÇÃO E TRANSMISSÃO S/A",20320
"307","M DIAS BRANCO SA IND E COM DE ALIMENTOS",20338
"308","PROFARMA DISTRIB. PRODUTOS FARMACEUTICOS",20346
"309","TERRA SANTA AGRO S.A.",20354
"310","POSITIVO INFORMATICA SA",20362
"311","LPS BRASIL CONSULTORIA DE IMOVEIS S/A",20370
"312","BUETTNER SA IND E COMERCIO - EM RECUPERAÇÃO JUDICIAL",2038
"313","TC SECURITIES CIA DE SECURITIZAÇÃO",20389
"314","CONCESSIONARIA ECOVIAS DOS IMIGRANTES SA",20397
"315","ONE PROPERTIES S.A.",20419
"316","TECNISA S/A",20435
"317","RNI NEGÓCIOS IMOBILIÁRIOS S.A.",20451
"318","TFA SECURITIZADORA S/A",20460
"319","PDG REALTY SA EMPREENDIMENTOS E PARTS - EM RECUPERAÇÃO JUDICIAL",20478
"320","CAMARGO CORREA DESENVOLVIMENTO  IMOBILIARIO SA",20486
"321","IGUATEMI EMPRESA DE SHOPPING CENTERS S/A",20494
"322","TAIPE TRANCOSO EMPREENDIMENTOS S/A",20508
"323","SÃO MARTINHO SA",20516
"324","EVEN CONSTRUTORA E INCORPORADORA S/A",20524
"325","BANCO SANTANDER (BRASIL) S.A.",20532
"326","CPFL ENERGIAS RENOVÁVEIS S.A.",20540
"327","SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL",20559
"328","BANCO PINE S/A",20567
"329","JBS SA",20575
"330","JHSF PARTICIPAÇÕES SA",20605
