"","Codigo","Companhia","Ano","APC"
"230",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2010",1436634
"231",61,"SNB PARTICIPACOES SA","2010",2902487660
"232",62,"COMPANHIA PARANAENSE DE ENERGIA","2017",0
"233",62,"COMPANHIA PARANAENSE DE ENERGIA","2016",0
"234",62,"COMPANHIA PARANAENSE DE ENERGIA","2015",0
"235",62,"COMPANHIA PARANAENSE DE ENERGIA","2014",0
"236",62,"COMPANHIA PARANAENSE DE ENERGIA","2013",0
"237",62,"COMPANHIA PARANAENSE DE ENERGIA","2012",0
"238",63,"USINAS SIDERURGICAS DE MINAS GERAIS SA","2012",2526654
"239",63,"USINAS SIDERURGICAS DE MINAS GERAIS SA","2011",2526654
"240",65,"CIA ENERGÉTICA DE PERNAMBUCO - CELPE","2017",280165
"241",65,"CIA ENERGÉTICA DE PERNAMBUCO - CELPE","2016",280143
"242",65,"CIA ENERGÉTICA DE PERNAMBUCO - CELPE","2015",280143
"243",65,"CIA ENERGÉTICA DE PERNAMBUCO - CELPE","2014",0
"244",65,"CIA ENERGÉTICA DE PERNAMBUCO - CELPE","2013",259906
"245",65,"CIA ENERGÉTICA DE PERNAMBUCO - CELPE","2012",0
"246",65,"CIA ENERGÉTICA DE PERNAMBUCO - CELPE","2011",0
"247",65,"CIA ENERGÉTICA DE PERNAMBUCO - CELPE","2010",0
"248",67,"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO","2017",4
"249",67,"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO","2016",4
"250",68,"COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB","2017",6000
"251",68,"COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB","2011",73400
"252",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2017",5977283
"253",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2016",5977285
"254",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2015",2513819
"255",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2014",6059269
"256",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2013",45223303
"257",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2012",16076669
"258",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2011",10293067
"259",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2010",10293067
"260",70,"CIA ELETRICIDADE DA BAHIA","2017",2453175
"261",72,"M&G POLIÉSTER SA","2013",232817616
"262",72,"M&G POLIÉSTER SA","2012",232920615
"263",72,"M&G POLIÉSTER SA","2011",232920615
"264",72,"M&G POLIÉSTER SA","2010",232920615
"265",73,"ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.","2015",0
"266",73,"ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.","2014",0
"267",73,"ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.","2013",0
"268",74,"NEUMARKT TRADE AND FINANCIAL CENTER S/A","2012",501
"269",74,"NEUMARKT TRADE AND FINANCIAL CENTER S/A","2011",1499
"270",74,"NEUMARKT TRADE AND FINANCIAL CENTER S/A","2010",1500
"271",76,"SCHULZ SA","2017",5091411
"272",76,"SCHULZ SA","2016",17268724
"273",76,"SCHULZ SA","2015",27451546
"274",76,"SCHULZ SA","2014",20060135
"275",76,"SCHULZ SA","2013",27802124
"276",76,"SCHULZ SA","2012",22313190
"277",76,"SCHULZ SA","2011",22313190
"278",76,"SCHULZ SA","2010",22313190
"279",78,"CIA HERING","2017",11768370
"280",78,"CIA HERING","2016",11768370
"281",78,"CIA HERING","2015",11768370
"282",78,"CIA HERING","2014",11768370
"283",78,"CIA HERING","2013",28149729
"284",78,"CIA HERING","2012",11768370
"285",78,"CIA HERING","2011",11768370
"286",78,"CIA HERING","2010",11768370
"287",80,"CIMS SA","2011",1
"288",80,"CIMS SA","2010",3
"289",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2017",0
"290",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2016",0
"291",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2015",0
"292",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2014",0
"293",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2013",0
"294",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2012",0
"295",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2011",1
"296",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2010",101
"297",82,"HAUSCENTER SA","2017",1
"298",82,"HAUSCENTER SA","2016",2325
"299",82,"HAUSCENTER SA","2015",2325
"300",82,"HAUSCENTER SA","2014",2327
"301",82,"HAUSCENTER SA","2013",2327
"302",82,"HAUSCENTER SA","2012",2327
"303",82,"HAUSCENTER SA","2011",2327
"304",82,"HAUSCENTER SA","2010",4630
"305",83,"CIA ENERG CEARA - COELCE","2014",1003692
"306",88,"CCB BRASIL ARRENDAMENTO MERCANTIL S/A","2012",24
"307",88,"CCB BRASIL ARRENDAMENTO MERCANTIL S/A","2011",24
"308",88,"CCB BRASIL ARRENDAMENTO MERCANTIL S/A","2010",24
"309",89,"BARDELLA SA INDS MECANICAS","2017",1
"310",89,"BARDELLA SA INDS MECANICAS","2016",231329
"311",89,"BARDELLA SA INDS MECANICAS","2015",231329
"312",89,"BARDELLA SA INDS MECANICAS","2014",231329
"313",89,"BARDELLA SA INDS MECANICAS","2013",231329
"314",89,"BARDELLA SA INDS MECANICAS","2012",232929
"315",89,"BARDELLA SA INDS MECANICAS","2011",234698
"316",89,"BARDELLA SA INDS MECANICAS","2010",235498
"317",90,"ENERGISA SA","2017",3792143
"318",90,"ENERGISA SA","2016",3796100
"319",90,"ENERGISA SA","2015",15204195
