"","Codigo","Companhia","Ano","Remuneração.Média"
"139",23,"AZEVEDO & TRAVASSOS SA","2016",713100
"140",23,"AZEVEDO & TRAVASSOS SA","2015",633583.906666667
"141",23,"AZEVEDO & TRAVASSOS SA","2014",597764.733333333
"142",23,"AZEVEDO & TRAVASSOS SA","2013",558171.6
"143",23,"AZEVEDO & TRAVASSOS SA","2012",473784
"144",23,"AZEVEDO & TRAVASSOS SA","2011",479274.666666667
"145",23,"AZEVEDO & TRAVASSOS SA","2010",431125.333333333
"146",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2017",933333.333333333
"147",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2014",1123000
"148",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2013",794416.666666667
"149",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2012",755083.333333333
"150",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2011",815000
"151",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2010",619716.666666667
"152",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2017",1103484.99777778
"153",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2016",665511.111111111
"154",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2015",631444.444444444
"155",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2014",589428.586666667
"156",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2013",523079.4
"157",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2012",481891.47
"158",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2011",440601.37025458
"159",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2010",506866.614444444
"160",26,"BOMBRIL SA","2017",1977888.25
"161",26,"BOMBRIL SA","2016",1904728.58333333
"162",26,"BOMBRIL SA","2015",2440638.25
"163",26,"BOMBRIL SA","2014",1856402.25
"164",26,"BOMBRIL SA","2013",1629816.75
"165",26,"BOMBRIL SA","2012",1407517.03333333
"166",26,"BOMBRIL SA","2011",1343327.31759657
"167",26,"BOMBRIL SA","2010",1269168.555
"168",27,"COSTA PINTO S.A.","2012",37808.5333333333
"169",27,"COSTA PINTO S.A.","2011",60000
"170",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2016",1013522.77807777
"171",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2015",2506542.2
"172",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2014",2192753.689
"173",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2013",2134993.567
"174",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2012",1815521.86698037
"175",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2011",1858543.85916667
"176",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2010",83905
"177",29,"BANCO DO NORDESTE DO BRASIL SA","2017",1671319.85657143
"178",29,"BANCO DO NORDESTE DO BRASIL SA","2016",1062101.89490476
"179",29,"BANCO DO NORDESTE DO BRASIL SA","2015",1602814.56633333
"180",29,"BANCO DO NORDESTE DO BRASIL SA","2014",1799617.46766667
"181",29,"BANCO DO NORDESTE DO BRASIL SA","2013",1447263.78190476
"182",29,"BANCO DO NORDESTE DO BRASIL SA","2012",769648.387714286
"183",29,"BANCO DO NORDESTE DO BRASIL SA","2011",539512.939142857
"184",29,"BANCO DO NORDESTE DO BRASIL SA","2010",492022.576428571
"185",30,"INDS J B DUARTE SA","2017",4060000
"186",30,"INDS J B DUARTE SA","2016",1e+07
"187",30,"INDS J B DUARTE SA","2015",1e+05
"188",30,"INDS J B DUARTE SA","2014",50000
"189",30,"INDS J B DUARTE SA","2013",249600
"190",30,"INDS J B DUARTE SA","2012",249600
"191",30,"INDS J B DUARTE SA","2011",230400
"192",30,"INDS J B DUARTE SA","2010",174250
"193",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2017",273935.866903633
"194",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2016",854131.590733591
"195",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2015",999515.062581486
"196",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2014",1643088.23723724
"197",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2013",2017449.38011696
"198",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2012",2097481.71841453
"199",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2011",2346144.55427117
"200",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2010",1881590.84399543
"201",32,"RECRUSUL SA","2017",15600
"202",32,"RECRUSUL SA","2016",15600
"203",32,"RECRUSUL SA","2015",15600
"204",32,"RECRUSUL SA","2014",367833.333333333
"205",32,"RECRUSUL SA","2013",367833.333333333
"206",32,"RECRUSUL SA","2012",658833.333333333
"207",32,"RECRUSUL SA","2011",690166.666666667
"208",32,"RECRUSUL SA","2010",633499.98
"209",33,"KLABIN S.A.","2017",8465974.54326923
"210",33,"KLABIN S.A.","2016",8810980.67628205
"211",33,"KLABIN S.A.","2015",7804558.91646154
"212",33,"KLABIN S.A.","2014",6954679.36651593
"213",33,"KLABIN S.A.","2013",4810627.13392157
"214",33,"KLABIN S.A.","2012",4397250
"215",33,"KLABIN S.A.","2011",4548290.19116667
"216",33,"KLABIN S.A.","2010",4411236.424
"217",34,"SANSUY SA INDÚSTRIA  DE PLASTICOS","2017",714375
"218",35,"FIBRIA CELULOSE S.A.","2017",4772488.25611111
"219",35,"FIBRIA CELULOSE S.A.","2016",2144124.68944444
"220",35,"FIBRIA CELULOSE S.A.","2015",11205129.3994444
"221",35,"FIBRIA CELULOSE S.A.","2014",4836263.95340909
"222",35,"FIBRIA CELULOSE S.A.","2013",3683680.08588745
"223",35,"FIBRIA CELULOSE S.A.","2012",3300943.7391793
"224",35,"FIBRIA CELULOSE S.A.","2011",2962510.19950852
"225",35,"FIBRIA CELULOSE S.A.","2010",4547095.17115265
"226",36,"SIDERURGICA J L ALIPERTI SA","2017",243000
"227",36,"SIDERURGICA J L ALIPERTI SA","2016",256100
"228",36,"SIDERURGICA J L ALIPERTI SA","2015",256100
"229",36,"SIDERURGICA J L ALIPERTI SA","2014",504180.89
"230",36,"SIDERURGICA J L ALIPERTI SA","2013",477728.78
"231",36,"SIDERURGICA J L ALIPERTI SA","2012",196266.666666667
"232",36,"SIDERURGICA J L ALIPERTI SA","2011",212651
"233",36,"SIDERURGICA J L ALIPERTI SA","2010",180916
"234",37,"RIMET EMPREEND. INDS. E COMERCIAIS S/A","2011",220666.666666667
"235",37,"RIMET EMPREEND. INDS. E COMERCIAIS S/A","2010",220666.666666667
"236",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2013",22540
"237",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2012",22540
"238",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2011",22000
"239",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2010",19000
"240",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2017",901833.333333333
"241",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2016",514730.158730159
"242",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2014",44857.1428571429
"243",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2013",42571.4285714286
"244",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2012",42857.1428571429
"245",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2011",73440.4761904762
"246",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2010",120571.428571429
"247",40,"BANCO MERCANTIL BRASIL SA","2017",1382219.4031746
"248",40,"BANCO MERCANTIL BRASIL SA","2016",1400705.88235294
"249",40,"BANCO MERCANTIL BRASIL SA","2014",4287608.21969697
"250",40,"BANCO MERCANTIL BRASIL SA","2013",758123.539222222
"251",40,"BANCO MERCANTIL BRASIL SA","2012",878575.793939394
"252",40,"BANCO MERCANTIL BRASIL SA","2011",693000
"253",40,"BANCO MERCANTIL BRASIL SA","2010",825055.555555556
"254",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2017",2184833.33333333
