"","Codigo","Companhia","Ano","Management.Council","Statutory.Directors","Fiscal.Council"
"108",19,"BANCO DO ESTADO DO PARÁ S/A.","2017",0,13.4,0
"109",19,"BANCO DO ESTADO DO PARÁ S/A.","2016",0,6.35,0
"110",19,"BANCO DO ESTADO DO PARÁ S/A.","2015",0,7.43,0
"111",19,"BANCO DO ESTADO DO PARÁ S/A.","2014",0,8.27,0
"112",19,"BANCO DO ESTADO DO PARÁ S/A.","2013",0,7.24,0
"113",19,"BANCO DO ESTADO DO PARÁ S/A.","2012",0,4.96,0
"114",19,"BANCO DO ESTADO DO PARÁ S/A.","2011",0,8.67,0
"115",19,"BANCO DO ESTADO DO PARÁ S/A.","2010",0,35.37,0
"116",20,"VULCABRAS|AZALEIA S.A.","2017",0,25.34,0
"117",20,"VULCABRAS|AZALEIA S.A.","2016",0,18.21,0
"118",20,"VULCABRAS|AZALEIA S.A.","2015",0,9.29,0
"119",20,"VULCABRAS|AZALEIA S.A.","2014",0,0,0
"120",20,"VULCABRAS|AZALEIA S.A.","2013",0,27.78,0
"121",20,"VULCABRAS|AZALEIA S.A.","2012",0,51.53,0
"122",20,"VULCABRAS|AZALEIA S.A.","2011",0,46.56,0
"123",20,"VULCABRAS|AZALEIA S.A.","2010",0,0,0
"124",21,"WEMBLEY SOCIEDADE ANÔNIMA","2015",0,0,0
"125",21,"WEMBLEY SOCIEDADE ANÔNIMA","2014",0,0,0
"126",21,"WEMBLEY SOCIEDADE ANÔNIMA","2013",0,0,0
"127",21,"WEMBLEY SOCIEDADE ANÔNIMA","2012",0,0,0
"128",21,"WEMBLEY SOCIEDADE ANÔNIMA","2011",0,44.17,0
"129",21,"WEMBLEY SOCIEDADE ANÔNIMA","2010",0,39.95,0
"130",22,"IOCHPE-MAXION SA","2017",0,41.6,0
"131",22,"IOCHPE-MAXION SA","2016",0,0,0
"132",22,"IOCHPE-MAXION SA","2015",0,0,0
"133",22,"IOCHPE-MAXION SA","2014",0,45.68,0
"134",22,"IOCHPE-MAXION SA","2013",0,0,0
"135",22,"IOCHPE-MAXION SA","2012",0,59.55,0
"136",22,"IOCHPE-MAXION SA","2011",0,63.05,0
"137",22,"IOCHPE-MAXION SA","2010",0,0,0
"138",23,"AZEVEDO & TRAVASSOS SA","2017",0,0,0
"139",23,"AZEVEDO & TRAVASSOS SA","2016",0,0,0
"140",23,"AZEVEDO & TRAVASSOS SA","2015",0,0,0
"141",23,"AZEVEDO & TRAVASSOS SA","2014",0,0,0
"142",23,"AZEVEDO & TRAVASSOS SA","2013",0,0,0
"143",23,"AZEVEDO & TRAVASSOS SA","2012",0,0,0
"144",23,"AZEVEDO & TRAVASSOS SA","2011",0,0,0
"145",23,"AZEVEDO & TRAVASSOS SA","2010",0,0,0
"146",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2017",0,0,0
"147",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2014",0,0,0
"148",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2013",0,0,0
"149",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2012",0,0,0
"150",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2011",0,0,0
"151",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2010",0,1.8,0
"152",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2017",0,2.48,0
"153",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2016",0,3.18,0
"154",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2015",0,3.7,0
"155",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2014",0,3.7,0
"156",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2013",0,3.7,0
"157",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2012",0,3.7,0
"158",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2011",0,2.1,0
"159",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2010",0,0,0
"160",26,"BOMBRIL SA","2017",0,0,0
