"","Codigo","Companhia","Ano","Porcentagem.Conselheiros"
"39",22,"IOCHPE-MAXION SA","2014",4
"40",22,"IOCHPE-MAXION SA","2013",0
"41",22,"IOCHPE-MAXION SA","2012",NA
"42",22,"IOCHPE-MAXION SA","2011",NA
"43",22,"IOCHPE-MAXION SA","2010",NA
"44",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2017",NA
"45",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2016",0.333333333333333
"46",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2015",0.666666666666667
"47",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2014",0.25
"48",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2013",0
"49",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2012",NA
"50",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2011",NA
"51",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2010",NA
"52",29,"BANCO DO NORDESTE DO BRASIL SA","2017",NA
"53",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2012",NA
"54",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2011",NA
"55",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2010",NA
"56",33,"KLABIN S.A.","2017",NA
"57",33,"KLABIN S.A.","2016",0
"58",33,"KLABIN S.A.","2015",0
"59",33,"KLABIN S.A.","2014",6
"60",33,"KLABIN S.A.","2013",0
"61",33,"KLABIN S.A.","2012",NA
"62",33,"KLABIN S.A.","2011",NA
"63",33,"KLABIN S.A.","2010",NA
"64",35,"FIBRIA CELULOSE S.A.","2017",NA
"65",35,"FIBRIA CELULOSE S.A.","2016",0
"66",35,"FIBRIA CELULOSE S.A.","2015",0
"67",35,"FIBRIA CELULOSE S.A.","2014",2.5
"68",35,"FIBRIA CELULOSE S.A.","2013",NA
"69",35,"FIBRIA CELULOSE S.A.","2012",NA
"70",35,"FIBRIA CELULOSE S.A.","2011",NA
"71",35,"FIBRIA CELULOSE S.A.","2010",NA
"72",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2013",NA
"73",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2012",NA
"74",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2011",NA
"75",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2010",NA
"76",40,"BANCO MERCANTIL BRASIL SA","2017",NA
"77",40,"BANCO MERCANTIL BRASIL SA","2016",1
"78",40,"BANCO MERCANTIL BRASIL SA","2015",1
"79",40,"BANCO MERCANTIL BRASIL SA","2014",0
"80",40,"BANCO MERCANTIL BRASIL SA","2013",0
"81",40,"BANCO MERCANTIL BRASIL SA","2012",NA
"82",40,"BANCO MERCANTIL BRASIL SA","2011",NA
"83",40,"BANCO MERCANTIL BRASIL SA","2010",NA
"84",48,"PBG S/A","2017",NA
"85",48,"PBG S/A","2016",0
"86",48,"PBG S/A","2015",0
"87",48,"PBG S/A","2014",0
"88",48,"PBG S/A","2013",0
"89",48,"PBG S/A","2012",NA
