"","Código","Companhia","Ano","Dummy"
"161",23,"AZEVEDO & TRAVASSOS SA","2017",0
"162",23,"AZEVEDO & TRAVASSOS SA","2016",0
"163",23,"AZEVEDO & TRAVASSOS SA","2015",0
"164",23,"AZEVEDO & TRAVASSOS SA","2014",0
"165",23,"AZEVEDO & TRAVASSOS SA","2013",0
"166",23,"AZEVEDO & TRAVASSOS SA","2012",0
"167",23,"AZEVEDO & TRAVASSOS SA","2011",0
"168",23,"AZEVEDO & TRAVASSOS SA","2010",0
"169",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2017",0
"170",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2016",0
"171",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2015",0
"172",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2014",0
"173",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2013",0
"174",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2012",0
"175",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2011",0
"176",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2010",0
"177",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2017",0
"178",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2016",0
"179",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2015",0
"180",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2014",0
"181",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2013",0
"182",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2012",0
"183",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2011",0
"184",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2010",0
"185",26,"BOMBRIL SA","2017",0
"186",26,"BOMBRIL SA","2016",0
"187",26,"BOMBRIL SA","2015",0
"188",26,"BOMBRIL SA","2014",0
"189",26,"BOMBRIL SA","2013",0
"190",26,"BOMBRIL SA","2012",0
"191",26,"BOMBRIL SA","2011",0
"192",26,"BOMBRIL SA","2010",0
"193",27,"COSTA PINTO S.A.","2012",0
"194",27,"COSTA PINTO S.A.","2011",0
"195",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2016",0
"196",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2015",0
"197",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2014",0
"198",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2013",0
