"","Código","Companhia","Ano","NIV","Management.Council","Statutory.Directors","Fiscal.Council","APC","RM","RMRANKIT","POEDIRECTOR","PO","AMDIRECTOR","AM","SIZE"
"85",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2013",0,0,21.38,0,1532199,864284.17,281,"",0,"356",7,12.4050341538911
"86",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2012",0,0,23.85,0,1532199,667162.73,42,"",0,"356",7,12.4416347662179
"87",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2011",0,0,0,0,1521520,454009.83,190,"",0,"356",7,12.5169449831011
"88",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2010",0,0,22.77,0,1474931,656682.5,26,"",0,"",0,12.4819111085074
"89",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2017",0,0,0,0,5000,0,203,"",0,"403",2,0
"90",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2016",0,0,0,0,0,0,202,"",0,"403",2,0
"91",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2015",0,0,0,0,0,1072676.25,73,"",0,"",0,0
"92",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2014",0,0,0,0,0,753674.23,148,"",0,"",0,0
"93",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2013",0,0,0,0,0,886185,310,"",0,"325",2,0
"94",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2012",0,0,0,0,0,524063.96,289,"",0,"325",2,0
"95",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2011",0,0,0,0,1936,489294.55,236,"",0,"",0,0
"96",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2010",0,0,51.78,0,1936,521965.32,284,"",0,"",0,0
"97",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2017",0,0,47.19,0,0,22154303.46,450,"",0,"267",2,18.0443719687563
"98",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2016",0,0,36.52,0,0,16352342.99,433,"",0,"267",2,18.2243154093313
"99",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2015",0,0,60.67,0,0,7987978.24,329,"",0,"639",1,18.3903741639947
"100",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2014",0,0,42.43,0,0,3906839.4,3,"",0,"940",2,18.4481900882657
"101",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2013",0,0,0,0,55859940,2733487.92,168,"",0,"940",2,18.0653773019319
"102",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2012",0,0,45.24,0,0,1712456.6,109,"",0,"959",1,18.0507308478694
